"state_fips_code","county_fips_code","state","county","confirmed_cases","deaths","test_7day_total","positivity_7day_avg","community","school","report_date","healthwebsites"
"01","01029","Alabama","Cleburne County",2311,50,50,0,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/cleburne/index.html"",""https://www.facebook.com/CleburneCHD""]"
"01","01031","Alabama","Coffee County",8793,175,168,8.93,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/coffee/index.html"",""https://www.facebook.com/CoffeeCHD/""]"
"01","01033","Alabama","Colbert County",8482,182,144,4.17,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/colbert/"",""https://www.facebook.com/ColbertCHD""]"
"01","01035","Alabama","Conecuh County",1813,46,35,20,"high","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/conecuh/index.html"",""https://www.facebook.com/ConecuhCHD""]"
"01","01037","Alabama","Coosa County",1680,33,35,2.86,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/coosa/index.html""]"
"01","01039","Alabama","Covington County",6420,165,54,5.56,"moderate","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/covington/index.html"",""https://www.facebook.com/CovingtonCHD""]"
"01","01041","Alabama","Crenshaw County",2370,69,56,16.07,"high","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/crenshaw/index.html"",""https://www.facebook.com/CrenshawCHD""]"
"01","01043","Alabama","Cullman County",14506,257,692,3.76,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/cullman/index.html"",""https://www.facebook.com/CullmanCHD""]"
"01","01045","Alabama","Dale County",8529,172,200,3,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/dale/index.html"",""https://www.facebook.com/DaleCHD""]"
"01","01047","Alabama","Dallas County",4676,187,170,1.18,"low","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/dallas/index.html"",""https://www.facebook.com/DallasCHD""]"
"01","01049","Alabama","DeKalb County",12140,236,222,11.26,"high","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/dekalb/index.html"",""https://www.facebook.com/DeKalbCHD""]"
"01","01051","Alabama","Elmore County",14387,260,550,2.18,"substantial","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/elmore/index.html"",""https://www.facebook.com/ElmoreCHD""]"
"01","01053","Alabama","Escambia County",6553,120,56,5.36,"substantial","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/escambia/index.html"",""https://www.facebook.com/ECountyHD/""]"
"01","01055","Alabama","Etowah County",19001,459,431,4.87,"high","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/etowah/index.html"",""https://www.facebook.com/EtowahCHD""]"
"01","01057","Alabama","Fayette County",2779,73,99,10.1,"high","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/fayette/index.html"",""https://www.facebook.com/FayetteCHD""]"
"01","01059","Alabama","Franklin County",5758,101,111,7.21,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/franklin/index.html"",""https://www.facebook.com/FranklinCountyHD""]"
"01","01061","Alabama","Geneva County",4371,116,84,2.38,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/geneva/index.html"",""https://www.facebook.com/GenevaCHD/""]"
"01","01063","Alabama","Greene County",1206,42,26,3.85,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/greene/index.html"",""https://www.facebook.com/Greene-County-Health-Department-882421425103622/""]"
"01","01065","Alabama","Hale County",2915,84,86,0,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/hale/index.html"",""https://www.facebook.com/Hale-County-Health-Department-1553933844819271/?fref=ts""]"
"01","01067","Alabama","Henry County",3003,57,81,7.41,"moderate","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/henry/index.html"",""https://www.facebook.com/HenryCountyHD/""]"
"01","01069","Alabama","Houston County",16697,382,447,3.13,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/houston/index.html"",""https://www.facebook.com/HoustonCHD/""]"
"01","01071","Alabama","Jackson County",9325,156,216,7.41,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/jackson/index.html"",""https://www.facebook.com/JacksonCountyHealth/""]"
"01","01073","Alabama","Jefferson County",111169,1760,4668,3.36,"substantial","Lower risk of transmission in schools","2021-06-06","[""http://www.jcdh.org"",""https://www.facebook.com/JeffersonCountyDepartmentOfHealth/""]"
"01","01075","Alabama","Lamar County",1933,42,50,12,"high","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/lamar/index.html"",""https://www.facebook.com/LamarCHD""]"
"01","01077","Alabama","Lauderdale County",13436,280,238,4.2,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/lauderdale/index.html"",""https://www.facebook.com/LauderdaleCHD""]"
"01","01079","Alabama","Lawrence County",4107,108,165,13.33,"high","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/lawrence/index.html"",""https://www.facebook.com/LawrenceCHD/""]"
"01","01081","Alabama","Lee County",22407,219,706,4.67,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/lee/index.html"",""https://www.facebook.com/LeeCountyHD/""]"
"01","01083","Alabama","Limestone County",14505,187,464,4.53,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/limestone/index.html"",""https://www.facebook.com/LimestoneCHD""]"
"01","01085","Alabama","Lowndes County",1707,58,58,5.17,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/lowndes/index.html"",""https://www.facebook.com/LowndesCHD/""]"
"01","01087","Alabama","Macon County",2186,58,79,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/macon/index.html"",""https://www.facebook.com/MaconCHD/""]"
"01","01089","Alabama","Madison County",49549,625,2554,4.07,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/madison/index.html"",""https://www.facebook.com/pages/MadisonCountyHealth""]"
"01","01091","Alabama","Marengo County",3256,83,114,0,"low","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/marengo/index.html"",""https://www.facebook.com/MarengoCHD/""]"
"01","01093","Alabama","Marion County",4769,117,107,8.41,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/marion/index.html"",""https://www.facebook.com/MarionCountyHD""]"
"01","01095","Alabama","Marshall County",17619,274,374,6.68,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/marshall/index.html"",""https://www.facebook.com/MarshallCHD/""]"
"01","01097","Alabama","Mobile County",70717,1225,2179,4.73,"substantial","Lower risk of transmission in schools","2021-06-06","[""http://www.mchd.org"",""https://www.facebook.com/ILoveMCHD"",""https://twitter.com/ILoveMCHD""]"
"01","01099","Alabama","Monroe County",3171,52,124,2.42,"low","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/monroe/index.html"",""https://www.facebook.com/MonroeCHD""]"
"01","01101","Alabama","Montgomery County",33066,676,1616,5.45,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/montgomery/index.html"",""https://www.facebook.com/MontgomeryCHD/""]"
"01","01103","Alabama","Morgan County",19734,334,668,5.54,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/morgan/index.html"",""https://www.facebook.com/MorganCHD/""]"
"01","01105","Alabama","Perry County",1363,36,52,3.85,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/perry/index.html"",""https://www.facebook.com/PerryCHD""]"
"01","01107","Alabama","Pickens County",3018,73,55,1.82,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/pickens/index.html"",""https://www.facebook.com/Pickens-County-Health-Department-866888973343298/?fref=ts""]"
"01","01109","Alabama","Pike County",4600,96,205,0.49,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/pike/index.html"",""https://www.facebook.com/PikeCHD/""]"
"01","01111","Alabama","Randolph County",3044,56,60,6.67,"substantial","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/randolph/index.html"",""https://www.facebook.com/RandolphCHD""]"
"01","01113","Alabama","Russell County",6024,55,268,2.99,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/russell/index.html"",""https://www.facebook.com/RussellCHD""]"
"01","01115","Alabama","St. Clair County",15361,303,534,22.47,"high","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/stclair/index.html"",""https://www.facebook.com/StClairCHD""]"
"01","01117","Alabama","Shelby County",36062,314,1313,3.05,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/shelby/index.html"",""https://www.facebook.com/ShelbyCHD/""]"
"01","01119","Alabama","Sumter County",1243,36,46,0,"low","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/sumter/index.html"",""https://www.facebook.com/SumterCHD/""]"
"01","01121","Alabama","Talladega County",12855,234,426,5.4,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/talladega/index.html"",""https://www.facebook.com/TalladegaCHD""]"
"01","01123","Alabama","Tallapoosa County",6616,177,168,4.76,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/tallapoosa/index.html"",""https://www.facebook.com/TallapoosaCHD""]"
"01","01125","Alabama","Tuscaloosa County",33661,547,930,3.76,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/tuscaloosa/index.html"",""https://www.facebook.com/TuscaloosaCHD""]"
"01","01127","Alabama","Walker County",10524,329,281,9.61,"substantial","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/walker/index.html"",""https://www.facebook.com/WalkerCHD""]"
"01","01129","Alabama","Washington County",2451,48,55,9.09,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/washington/index.html"",""https://www.facebook.com/Washington-County-Health-Department-492546657554501/?fref=ts""]"
"01","01131","Alabama","Wilcox County",1597,36,38,7.89,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/wilcox/index.html"",""https://www.facebook.com/Wilcox-County-Health-Department-328419027349880/""]"
"01","01133","Alabama","Winston County",4229,94,147,7.48,"high","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/winston/index.html"",""https://www.facebook.com/WinstonCHD""]"
"02","02013","Alaska","Aleutians East Borough",416,3,21,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02016","Alaska","Aleutians West Census Area",881,1,90,5.56,"substantial","Lower risk of transmission in schools","2021-06-06","[]"
"02","02020","Alaska","Anchorage Municipality",45404,253,12187,0.71,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.muni.org/departments/health""]"
"02","02050","Alaska","Bethel Census Area",4968,25,432,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02060","Alaska","Bristol Bay Borough",,,251,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02068","Alaska","Denali Borough",223,1,56,1.79,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02070","Alaska","Dillingham Census Area",552,5,109,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02090","Alaska","Fairbanks North Star Borough",11564,55,1632,1.78,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02100","Alaska","Haines Borough",201,0,9,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02105","Alaska","Hoonah-Angoon Census Area",,,5,0,"low","Moderate risk of transmission in schools","2021-06-06","[]"
"02","02110","Alaska","Juneau City and Borough",2996,6,1114,2.33,"substantial","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02122","Alaska","Kenai Peninsula Borough",8176,34,960,1.98,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02130","Alaska","Ketchikan Gateway Borough",1384,3,373,1.88,"substantial","Lower risk of transmission in schools","2021-06-06","[]"
"02","02150","Alaska","Kodiak Island Borough",1887,6,201,0.5,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02158","Alaska","Kusilvak Census Area",1760,5,212,0,"substantial","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02164","Alaska","Lake and Peninsula Borough",320,0,21,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02170","Alaska","Matanuska-Susitna Borough",16348,69,1481,2.03,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02180","Alaska","Nome Census Area",1001,0,1544,1.3,"substantial","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02185","Alaska","North Slope Borough",2153,4,311,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02188","Alaska","Northwest Arctic Borough",1043,3,527,0.76,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02195","Alaska","Petersburg Borough",222,2,194,0.52,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02198","Alaska","Prince of Wales-Hyder Census Area",451,5,88,9.09,"high","Moderate risk of transmission in schools","2021-06-06","[]"
"02","02220","Alaska","Sitka City and Borough",1082,4,152,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02230","Alaska","Skagway Municipality",62,0,21,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02240","Alaska","Southeast Fairbanks Census Area",1006,7,144,8.33,"high","Highest risk of transmission in schools","2021-06-06","[]"
"02","02261","Alaska","Valdez-Cordova Census Area",,,966,3,"high","Lower risk of transmission in schools","2021-04-12","[]"
"02","02275","Alaska","Wrangell City and Borough",133,0,55,3.64,"high","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02282","Alaska","Yakutat City and Borough",138,2,0,,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"02","02290","Alaska","Yukon-Koyukuk Census Area",532,5,0,,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"04","04001","Arizona","Apache County",12999,467,173,5.78,"moderate","Lower risk of transmission in schools","2021-06-06","[""https://www.co.apache.az.us/""]"
"04","04003","Arizona","Cochise County",14037,321,567,3.35,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.cochise.az.gov""]"
"04","04005","Arizona","Coconino County",21061,345,1070,2.8,"low","Lowest risk of transmission in schools","2021-06-06","[""http://www.coconino.az.gov/health"",""https://www.facebook.com/CoconinoCountyHHS/"",""https://twitter.com/CoconinoHHS""]"
"04","04007","Arizona","Gila County",8899,256,300,2,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://co.gila.az.us/index.php"",""https://www.facebook.com/Gila-County-Health-and-Emergency-Management-1591371651074501""]"
"04","04009","Arizona","Graham County",6890,99,118,9.32,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.graham.az.gov"",""https://www.facebook.com/Graham-County-Health-Department-1611121092508959""]"
"04","04011","Arizona","Greenlee County",910,15,16,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"04","04012","Arizona","La Paz County",2952,86,93,2.15,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.LPCHD.com""]"
"04","04013","Arizona","Maricopa County",684566,11324,45377,4.46,"moderate","Lower risk of transmission in schools","2021-06-06","[""https://www.maricopa.gov/5302/Public-Health"",""https://www.facebook.com/MCDPH"",""https://twitter.com/Maricopahealth""]"
"04","04015","Arizona","Mohave County",30745,915,1569,9.11,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.healthelinks.com"",""https://www.facebook.com/Mohave-County-Department-of-Public-Health-1566710160271535/"",""https://twitter.com/mohaveinfo""]"
"04","04017","Arizona","Navajo County",19469,594,677,2.66,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.navajocountyaz.gov/Departments/Public-Health-Services"",""https://twitter.com/ncphsd""]"
"04","04019","Arizona","Pima County",133750,2607,7199,2.58,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://webcms.pima.gov/government/health_department/"",""https://www.facebook.com/PimaCountyHealthDepartment"",""https://twitter.com/pchd""]"
"04","04021","Arizona","Pinal County",67752,998,5782,3.98,"substantial","Lower risk of transmission in schools","2021-06-06","[""http://www.pinalcountyaz.gov/publichealth""]"
"04","04023","Arizona","Santa Cruz County",8737,190,209,3.35,"moderate","Lower risk of transmission in schools","2021-06-06","[""https://www.santacruzcountyaz.gov/148/Health-Services""]"
"04","04025","Arizona","Yavapai County",25651,631,2113,3.79,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.yavapai.us/chs"",""https://www.facebook.com/pages/Yavapai-Health/243976918959188"",""https://twitter.com/yavapaihealth""]"
"04","04027","Arizona","Yuma County",40456,889,989,2.12,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.yumacountyaz.gov/government/health-district""]"
"05","05001","Arkansas","Arkansas County",3363,56,32,3.13,"substantial","Higher risk of transmission in schools","2021-06-06","[]"
"05","05003","Arkansas","Ashley County",3051,42,39,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05005","Arkansas","Baxter County",5633,168,51,9.8,"substantial","Lower risk of transmission in schools","2021-06-06","[""http://www.baxterhometownhealth.org""]"
"05","05007","Arkansas","Benton County",40370,567,466,4.29,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05009","Arkansas","Boone County",5977,109,151,7.28,"substantial","Lower risk of transmission in schools","2021-06-06","[]"
"05","05011","Arkansas","Bradley County",1915,37,50,24,"high","Highest risk of transmission in schools","2021-06-06","[]"
"05","05013","Arkansas","Calhoun County",570,7,0,,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05015","Arkansas","Carroll County",4172,67,123,3.25,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05017","Arkansas","Chicot County",1969,44,20,5,"moderate","Moderate risk of transmission in schools","2021-06-06","[]"
"05","05019","Arkansas","Clark County",3073,50,31,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05021","Arkansas","Clay County",2568,58,74,1.35,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05023","Arkansas","Cleburne County",3497,88,45,6.67,"moderate","Higher risk of transmission in schools","2021-06-06","[]"
"05","05025","Arkansas","Cleveland County",1338,32,28,7.14,"substantial","Moderate risk of transmission in schools","2021-06-06","[]"
"05","05027","Arkansas","Columbia County",3273,65,26,0,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05029","Arkansas","Conway County",3049,41,33,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05031","Arkansas","Craighead County",20507,228,994,4.33,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05033","Arkansas","Crawford County",10209,160,109,0.92,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05035","Arkansas","Crittenden County",8405,117,225,2.22,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05037","Arkansas","Cross County",2781,59,74,5.41,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05039","Arkansas","Dallas County",1117,18,9,0,"substantial","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05041","Arkansas","Desha County",1801,28,31,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05043","Arkansas","Drew County",2748,53,24,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05045","Arkansas","Faulkner County",18856,207,272,6.62,"moderate","Moderate risk of transmission in schools","2021-06-06","[]"
"05","05047","Arkansas","Franklin County",2634,49,49,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05049","Arkansas","Fulton County",1634,54,14,0,"moderate","Higher risk of transmission in schools","2021-06-06","[]"
"05","05051","Arkansas","Garland County",15488,367,152,3.29,"moderate","Moderate risk of transmission in schools","2021-06-06","[]"
"05","05053","Arkansas","Grant County",2801,47,35,8.57,"substantial","Higher risk of transmission in schools","2021-06-06","[]"
"05","05055","Arkansas","Greene County",9470,109,313,2.88,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05057","Arkansas","Hempstead County",2805,25,37,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05059","Arkansas","Hot Spring County",7343,103,344,1.45,"substantial","Moderate risk of transmission in schools","2021-06-06","[]"
"05","05061","Arkansas","Howard County",2298,30,34,2.94,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05063","Arkansas","Independence County",5856,152,75,2.67,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05065","Arkansas","Izard County",2341,53,13,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05067","Arkansas","Jackson County",3990,42,59,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05069","Arkansas","Jefferson County",12131,223,203,3.45,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05071","Arkansas","Johnson County",4382,56,95,1.05,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05073","Arkansas","Lafayette County",802,11,0,,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05075","Arkansas","Lawrence County",3104,50,108,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05077","Arkansas","Lee County",2027,44,20,0,"low","Lower risk of transmission in schools","2021-06-06","[]"
"05","05079","Arkansas","Lincoln County",3614,55,30,6.67,"moderate","Moderate risk of transmission in schools","2021-06-06","[]"
"05","05081","Arkansas","Little River County",1915,44,0,,"low","Moderate risk of transmission in schools","2021-06-06","[]"
"05","05083","Arkansas","Logan County",3406,34,57,5.26,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05085","Arkansas","Lonoke County",11500,169,181,7.73,"substantial","Higher risk of transmission in schools","2021-06-06","[]"
"05","05087","Arkansas","Madison County",2393,35,32,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05089","Arkansas","Marion County",2056,55,68,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05091","Arkansas","Miller County",6084,39,60,1.67,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05093","Arkansas","Mississippi County",7835,126,180,0.56,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05095","Arkansas","Monroe County",1161,21,18,0,"low","Lower risk of transmission in schools","2021-06-06","[]"
"05","05097","Arkansas","Montgomery County",1094,37,0,,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05099","Arkansas","Nevada County",1275,30,35,2.86,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05101","Arkansas","Newton County",1133,32,22,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05103","Arkansas","Ouachita County",3328,75,39,25.64,"high","Higher risk of transmission in schools","2021-06-06","[]"
"05","05105","Arkansas","Perry County",1429,19,29,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05107","Arkansas","Phillips County",3084,67,33,3.03,"moderate","Lower risk of transmission in schools","2021-06-06","[]"
"05","05109","Arkansas","Pike County",1631,34,13,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05111","Arkansas","Poinsett County",4681,96,226,0,"low","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05113","Arkansas","Polk County",2838,97,22,9.09,"substantial","Higher risk of transmission in schools","2021-06-06","[]"
"05","05115","Arkansas","Pope County",11483,148,208,1.92,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05117","Arkansas","Prairie County",1266,28,20,5,"moderate","Higher risk of transmission in schools","2021-06-06","[]"
"05","05119","Arkansas","Pulaski County",56950,867,1387,4.97,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.healthyarkansas.com""]"
"05","05121","Arkansas","Randolph County",3076,51,105,0.95,"substantial","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05123","Arkansas","St. Francis County",4600,56,215,0.47,"moderate","Lowest risk of transmission in schools","2021-06-06","[]"
"05","05125","Arkansas","Saline County",17915,231,260,8.46,"substantial","Higher risk of transmission in schools","2021-06-06","[]"
